Reductions,Times
0.726279863,16297.75258
0.538071066,5593.40956
0.690307329,9199.773153
0.546308725,14040.49859
0.511166253,17860.25468
0.341346154,21188.57072
0.383561644,24742.98477
0.589002796,31249.98737
0,6588.941987
0.626344086,11658.027
0.510309278,3414.931028
0.699438202,19657.56587
0.587747288,28712.71478
0.869716426,24559.61578
0,7707.574912
0,7460.884541
0.869716426,24195.16475
0.869716426,24480.65467
0,6059.494943
0.587747288,15055.98402
0.609725686,27237.48505
0.741335045,15565.08585
0.822527832,16230.60251
0.700803213,5515.509009
0.724568138,7779.506708
0.717340772,14092.11853
0.787578758,18681.02583
0.906832298,4001.082293
0.730169492,11342.32101
0.838427948,17817.30443
0.611661166,5427.840726
0.756914119,6502.726995
0.175078864,5169.009149
0.718817905,13228.88063
0,13231.47921
0.840899171,25547.44916
0.669207963,13434.18522
0.568181818,6752.952393
0.760283688,5301.367976
0.467741935,5734.449856
0.662359316,23137.2968
0.823904845,17715.39039
0.669120832,21301.06208
0.802699896,6135.531547
0.72246696,8079.514036
0.748041775,5368.205356
0.494230769,3640.832313
0.475853946,6037.810766
0.428571429,4615.089576
0,2076.890474
0.667934094,6094.463258
0.639588101,6657.742845
0.617873652,5014.746586
0.366623711,9914.124614
0.842194093,7187.928986
0.621445979,14018.4318
0.464767616,6242.385946
0.685496183,5440.999771
0.258215962,7768.315576
0.681222707,10841.93987
-0.00166113,4703.586197
0.523592085,5123.692596
0.472797927,5458.594484
0.628757108,9275.886554
0.727406319,9111.707824
0.833376522,36556.14369
0.802430243,13799.49363
0.491253644,5951.941319
0.35261708,7175.842309
0.658566221,10818.23281
0.313753582,4733.285235
0.677083333,6571.755489
0.694174757,6114.282648
0.524416136,11058.78648
0.44235589,8640.651165
0.85106383,8752.622051
0.846376812,6509.344383
0,3582.815251
0.726039783,7439.156745
0.793184489,5828.159533
0.786948177,6711.772438
0.65335599,9243.138565
0.591623037,16122.84264
0.708695652,4657.940135
0.732594937,5229.765678
0.642746914,9203.930539
0.4,2608.940809
0.536945813,5649.896374
0.694793537,5231.828853
0.684210526,11891.01257
0.762406015,14488.23106
0.633279483,7807.162159
0.40593047,6872.707321
0.471958585,7984.674554
0.684210526,13151.9119
0.436440678,4795.735056
0.680076628,11674.16139
0.664041995,7756.713551
0.254416961,4351.098947
0.177700348,3316.349963
0.687068966,13839.61663
0.440233236,3407.943157
0.569014085,4224.924734
0.825965565,17574.16701
0.410752688,4324.572712
0.622252747,6759.610521
0.361111111,7696.66983
0.313885648,7056.840274
0,3497.630594
0.7039801,5031.746428
0.454354669,6839.428005
0.676470588,5882.262696
0.268933539,4904.747618
0.701840491,7846.929291
0.332917706,14266.50149
0.846153846,26972.24883
0.784864865,11090.19616
0.681539808,16815.62655
0.240694789,3696.090508
0.475815523,6649.44413
0.291390728,2441.622568
0.62005277,2790.13519
0.43498452,5242.512355
0.625717566,6015.534276
0.340301974,5550.273861
0.671092952,12576.07699
0.539724576,11057.89339
0.83248731,27825.47878
0.212273642,8817.243655
0.600806452,5227.078736
0.719286942,26291.44854
0.782099344,15257.35138
0.57496361,13709.30518
0.592747559,4913.645641
0.602176542,5733.376216
0.72,6412.0873
0.787735849,6651.979609
0.651851852,5175.89475
0.492159228,5068.245866
0.344943349,13750.84529
0.664315938,6958.585423
0.805142084,6147.052749
0.582653061,7300.053147
0.414373089,5189.572677
0.800153728,8703.662431
0.64359352,5828.767447
0.397222222,14027.5327
-0.001459854,4103.545721
0.174257426,6130.599306
0.50075643,5021.936334
0.665644172,5494.833471
0.394630872,4708.813549
0.465655665,15381.80135
0.56928839,9096.308678
0.621745789,6036.058854
0.820831547,23341.77887
0.720264317,13308.67908
0.719360568,11367.54327
0.489583333,4602.009914
0,5140.317682
